Unnamed: 0,ITEM CODE,PRODUCT NAME,CATEGORY,QUANTITY,U.O.M,COST,PRODUCTION COST,CURRENCY
,SFALMPL05122,Aluminium Angle 2'' X 2'' X (6Mtr) (05122),LOCAL,29.0,MTRS,1245.87,36130.23,KES
,PMFLAT34LOC,"Aluminium flat bar 3/4""x 1/8""",LOCAL,1.0,PCS,476.0,476.0,KES
,PMANG18LOC,"Angle 1"" X 1"" X 1/8"" (25Mmx25Mmx3Mm)",LOCAL,1.0,PCS,678.76,678.76,KES
,PMBOX12LOC,"Box Section 1"" X 1"" X 2Mm",LOCAL,1.0,PCS,876.87,876.87,KES
,PMBRLOC,"Brushes 3""( Green Tip )",LOCAL,1.0,PCS,112.0,112.0,KES
,sfcbnd2,C&B 2,LOCAL,11.0,PCS,10.0,110.0,KES
,sfcandb3mm,C&B 3mm sheet,LOCAL,32.0,PCS,15.0,480.0,KES
,sfcandb3mm,C&B 3mm sheet,LOCAL,36.0,PCS,15.0,540.0,KES
,sfcandb3mm,C&B 3mm sheet,LOCAL,38.0,PCS,15.0,570.0,KES
,sfcab4mm,C&B 4mm sheet,LOCAL,3.0,PCS,18.0,54.0,KES
,SFCATHDNOX,Catalyst,IMPORT,1.5,KG,11.0,16.5,USD
,SFCATHDNOX,Catalyst,IMPORT,0.3,KG,11.0,3.3,USD
,SFCATHDNOX,Catalyst,IMPORT,0.6,KG,11.0,6.6,USD
,SFCATHDNOX,Catalyst,IMPORT,0.4,KG,11.0,4.4,USD
,SFCATHDNOX,Catalyst,IMPORT,0.4,KG,11.0,4.4,USD
,SFCATHDNOX,Catalyst,IMPORT,0.6,KG,11.0,6.6,USD
,SFCATHDNOX,Catalyst,IMPORT,0.2,KG,11.0,2.2,USD
,SFCATHDNOX,Catalyst,IMPORT,0.2,KG,11.0,2.2,USD
,SFCATHDNOX,Catalyst ,IMPORT,1.5,KG,11.0,16.5,USD
,SFCATHDNOX,Catalyst ,IMPORT,1.5,KG,11.0,16.5,USD
,SFCATHDNOX,Catalyst ,IMPORT,0.73,KG,11.0,8.03,USD
