ITEM CODE,PRODUCT NAME,CATEGORY,U.O.M,QUANTITY,COST_KES,TOTAL_COST_OF_PRODUCTION,CURRENCY
"PM1/4X1""",M/S Nuts & Bolts 1/4 X 1,LOCAL,PCS,6.0,2.5,15.0,KES
PM1200LOC,Emery Paper No 1200,LOCAL,SHEETS,0.25,65.0,16.25,KES
PM2000LOC,Emery Paper No 2000,LOCAL,SHEETS,0.25,74.0,18.5,KES
PM21/2X1X20.5FT,"Cypress smooth 21/2""x1x18ft",LOCAL,PCS,2.0,1432.0,2864.0,KES
PM2500LOC,Emery Paper No 2500,LOCAL,SHEETS,0.5,84.0,42.0,KES
PM300IMP,Mat 400,IMPORT,KG,44.0,510.0,22440.0,KES
PM5/16,M/S Nuts & Bolts 5/16 X 1 1/2,LOCAL,PCS,20.0,3.0,60.0,KES
PM600LOC,Emery Paper No 600,LOCAL,SHEETS,0.25,43.0,10.75,KES
PM800LOC,Emery Paper No 800,LOCAL,SHEETS,0.25,52.0,13.0,KES
PM980IMP,Mat 980,IMPORT,KG,96.0,540.0,51840.0,KES
PMACHSCRE,machine screw 5/16x11/2,LOCAL,PCS,1.0,4.0,4.0,KES
PMANG18LOC,"Angle 1"" X 1"" X 1/8"" (25Mmx25Mmx3Mm)",LOCAL,PCS,1.0,678.76,678.76,KES
PMBLT8LOC,H/T BOLTS 8MMX11/2,LOCAL,PCS,8.0,26.0,208.0,KES
PMBNI8,Door seal rubber 83mm,LOCAL,MTRS,6.2,264.0,1636.8,KES
PMBOLT12,M/S Nuts & Bolts 1/2 X 1 1/2,LOCAL,PCS,15.0,2.1,31.5,KES
PMBOLT38,M/S Nuts & Bolts 3/8 X 1 1/2,LOCAL,PCS,20.0,3.0,60.0,KES
PMBOX12LOC,"Box Section 1"" X 1"" X 2Mm",LOCAL,PCS,1.0,876.87,876.87,KES
PMBRLOC,"Brushes 3""( Green Tip )",LOCAL,PCS,1.0,112.0,112.0,KES
PMCOMP,Compressor ,IMPORT,PCS,1.0,20480.0,20480.0,KES
PMCONT,Plastic Container 1Kg,LOCAL,PCS,2.0,23.0,46.0,KES
PMCYP115LOC,Cypress 2 x 1 1/2 x 7 1/2ft,LOCAL,PCS,1.0,675.0,675.0,KES
PMCYP115LOC,"Cypress smooth 2"" x 2"" x 7.5ft",LOCAL,PCS,9.0,643.0,5787.0,KES
PMCYPSMLOC,Cypress smooth 2'' x 1 1/2'' x 7 1/2ft,LOCAL,PCS,2.0,675.0,1350.0,KES
